Bairros;Distrito
Guriri;Dores de Macabu
Ibitioca;Ibitioca
Planicie;Dores de Macabu
Morangaba;Morangaba
Dores de Macabu;Dores de Macabu
Boa Vista;Santo Amaro
Xexé;Mussurepe
Santo Amaro;Santo Amaro
São Sebastião;São Sebastião
Mineiros;Goitacazes
Mussurepe;Mussurepe
Baixa Grande;Mussurepe
Palmares;Santo Eduardo
Vila Nova;Vila Nova
Santa Maria;Santa Maria
Santo Eduardo;Santo Eduardo
Murundu;Santa Maria
Morro do Coco;Morro do Coco
Serrinha;Serrinha
Lagoa de Cima;Morangaba
Itereré;Campos
Sapucaia;Guarus
Mata da Cruz;Santa Maria
Ponta Grossa;Tócos
Cambaíba;Campos
Martins Lage;Campos
Marrecas;Mussurepe
Penha;Goitacazes
Pq Bela Vista;Goitacazes
Estância da Penha;Goitacazes
Pq Vera Cruz;Guarus
Pq Fundão;Guarus
Jardim Guarus;Guarus
Pq São José;Guarus
Pq Cidade Luz;Guarus
Pq Guarus;Guarus
Pq São Matheus;Guarus
Vila Manhães;Campos
Lapa;Campos
Pq João Seixas;Campos
Pq João Maria;Campos
Pq Salo Brand;Campos
Matadouro;Campos
Horto;Campos
Jardim Flamboyant II;Campos
Pq Fazenda Grande;Campos
Pq Tarcísio Miranda;Campos
Pq Prazeres;Guarus
Pq Niterói;Guarus
Pq Vicente Gonçalves Dias;Guarus
Codin;Guarus
Terra Prometida;Guarus
Pq São Silvestre;Guarus
Pq Residencial da Lapa;Guarus
Vila Industrial;Guarus
Jardim Residencial Planície;Guarus
Pq Bonsucesso;Guarus
Pq Novo Mundo;Guarus
Pq Alvorada;Guarus
Pq Zuza Mota;Guarus
Pq Pres Vargas;Guarus
Nova Campos;Guarus
Pq Bandeirantes;Guarus
Pq Eldorado;Guarus
Pq Santo Antônio;Guarus
Pq Jardim Carioca;Guarus
Pq Barão do Rio Branco;Guarus
Pq São Domingos;Guarus
Centro;Campos
Pq Oliveira Botelho;Campos
Chácara João Ferreira;Campos
Pq José do Patrocínio;Campos
Pq Aurora;Campos
Pq Rui Barbosa;Campos
Pq São Benedito;Campos
Pq Av Pelinca;Campos
Pq Tamandaré;Campos
Jardim Maria de Queiroz;Campos
Pq Conselheiro Tomaz Coelho;Campos
Pq Carlos Lacerda;Campos
Pq Rosário;Campos
Pq São Lino;Campos
Pq Imperial;Goitacazes
Jardim Flamboyant I;Campos
Pq Nova Brasília;Campos
Pq Esplanada;Campos
Pq Julião Nogueira;Campos
Pq Sumaré;Campos
Pq Alberto Torres;Campos
Pq Nossa Senhora do Rosário;Campos
Pq Leopoldina;Campos
Pq Quinze de Novembro;Campos
Pq Pecuária;Campos
Caju;Campos
Pq São Salvador;Campos
Pq dos Rodoviários;Campos
Pq São Caetano;Campos
Pq Vista Alegre;Campos
Pq Benta Pereira;Campos
Pq Jockey Club;Campos
Pq Jardim Ceasa;Guarus
Vila da Rainha;Campos
Pq Dr Beda;Campos
Pq Corrientes;Campos
Pq São Clemente;Campos
Pq Dom Bosco;Campos
Pq Turf Club;Campos
Pq Fazendinha;Campos
IPS;Campos
Pq Aldeia;Guarus
Pq Riachuelo;Campos
Pq Pres Juscelino;Campos
Jardim Boa Vista 1;Guarus
Shopping Estrada;Campos
Tapera;Campos
Ururaí;Campos
Jardim  Aeroporto;Guarus
Donana;Goitacazes
Goitacazes;Goitacazes
Três Vendas;Travessão
Santa Cruz;Campos
Usina São João;Guarus
Carvão;Goitacazes
Chatuba;Campos
Fazendinha;Campos
Santa Ana;Travessão
Balança Rangel;Travessão
Guandú;Travessão
Campelo;Travessão
Ribeiro do Amaro;Travessão
Mundeos;Travessão
Conselheiro Josino;Vila Nova
Pernambuca;Ibitioca
São Martinho;Santo Amaro
Caboio;Santo Amaro
Santos Dumont;Guarus
Lagoa das Pedras;Guarus
Marcelo;Tócos
Quilombo;Dores de Macabu
Campo Novo;São Sebastião
Venda Nova;São Sebastião
Pq Califórnia;Campos
Espinho;São Sebastião
Campo Limpo;Goitacazes
Cantagalo;Goitacazes
Brejo Grande;Travessão
Travessão;Travessão
Fazenda Colégio;Travessão
Matutu;Travessão
Canaã;Travessão
Km 9;Guarus
Nova Canaã;Travessão
Pião;Santo Eduardo
São Luiz de Mutuca;Morro do Coco
Chave do Paraíso;Santa Maria
Sesmaria;Morro do Coco
Espirito Santinho;Santo Eduardo
São Diogo;Travessão
Jardim Boa Vista 2;Guarus
Monte Negro;São Sebastião
Barra Velha;Santo Amaro
Jardim Novo Farol;Mussurepe
Lagamar;Santo Amaro
Vila do Sol;Mussurepe
Farol;Santo Amaro
Viegas;Santo Amaro
Caxias de Balança Rangel;Travessão
Cerejeira;Dores de Macabu
Conceição do Imbé;Morangaba
Macaco;Dores de Macabu
Mato Escuro;Dores de Macabu
Beira do Taí;São Sebastião
Barra do Jacaré;São Sebastião
Furadinho;Santo Amaro
Maria da Rosa;Mussurepe
Farolzinho;Mussurepe
Largo do Garcia;São Sebastião
Olhos D'água;Santo Amaro
Paus Amarelos;Goitacazes
Ponto de Coqueiro;Goitacazes
Veiga;Goitacazes
Poço Gordo;São Sebastião
Vala do Mato;Tócos
São Bento;Mussurepe
Babosa;Mussurepe
Coqueiro de Tócos;Tócos
Carioca de Tócos;Tócos
Caxias de Tócos;Tócos
Tócos;Tócos
Canto do Engenho;Santo Amaro
Canal da Flexas;Santo Amaro
Saturnino Braga;São Sebastião
Correnteza;Santo Amaro
Ponta da Lama;Dores de Macabu
Cond Nogueiras;Guarus
Caxeta;Travessão
Alto da Areia;Goitacazes
Alto do Eliseu;São Sebastião
Novo Jockey;Campos
Assent Aleluia;Morangaba
Assent Cambucá;Morangaba
Assent Batatal;Morangaba
Assent Santo Amaro;Morangaba
Assent Dandara;Morro do Coco
Assent Josué de Castro;Vila Nova
Assent Oziel Alves;Campos
Assent Terra Conquistada;Serrinha
Assent Antônio de Farias;Ibitioca
Assent Che Guevara;Mussurepe
Assent Ilha Grande;Mussurepe
Assent Zumbi 1;Guarus
Assent Zumbi 2;Travessão
Assent Zumbi 3;Travessão
Assent Zumbi 4;Travessão
Pitangueiras;Santo Amaro
Retiro;Santo Amaro
Morro Grande;Campos
PMF Pq Santa Rosa;Guarus
Pq Tropical;Goitacazes
Pq São Jorge;Guarus
Pq Varanda do Visconde;Goitacazes
Usina Queimado;Campos
Pq Santo Amaro;Campos
Pq Lebret;Guarus
Pq Santa Rosa;Guarus
Divisa;Santa Maria
Boa Vista Sapuc;Travessão
Nova Goitacazes;Goitacazes
Vila Romana;Goitacazes
Parque Real;Goitacazes
Parque do Prado;Campos
